dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
1420070400,2015-01-01 00:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,12.2,,-0.28,10.57,11.62,13.27,1015,,,42,1.13,136,,,,,,0,800,Clear,sky is clear,01n
1420070400,2015-01-01 00:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,12.2,,-0.28,10.57,11.62,13.27,1015,,,42,1.13,136,,,,,,0,800,Clear,sky is clear,01n
1420074000,2015-01-01 01:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,12.04,,-0.13,10.42,11.43,13.15,1015,,,43,1.11,137,,,,,,0,800,Clear,sky is clear,01n
1420077600,2015-01-01 02:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,11.69,,0.76,10.14,11.1,12.85,1016,,,47,1.13,143,,,,,,0,800,Clear,sky is clear,01n
1420081200,2015-01-01 03:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,11.17,,0.29,9.57,11.03,11.4,1016,,,47,1.22,148,,,,,,1,800,Clear,sky is clear,01n
1420084800,2015-01-01 04:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,11.9,,0.35,10.32,10.83,13.31,1017,,,45,0.95,149,,,,,,0,800,Clear,sky is clear,01d
1420088400,2015-01-01 05:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,14.01,,-0.72,12.41,12.9,15.1,1018,,,36,1.07,159,,,,,,0,800,Clear,sky is clear,01d
1420092000,2015-01-01 06:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,20.61,,0.97,19.43,19.58,21.49,1019,,,27,0.7,352,,,,,,0,800,Clear,sky is clear,01d
1420095600,2015-01-01 07:00:00 +0000 UTC,10800,Ethiopia,9.145,40.489673,22.55,,0.99,21.49,21.48,23.35,1018,,,24,2.38,3,,,,,,0,800,Clear,sky is clear,01d
